User id,Number of tweets before,Number of tweets after
479236846,1,3
1958584064,1,1
291951825,1,5
98414127,2,1
97096775,1,1
1736412650,1,1
347568180,1,5
235277439,2,1
2294421534,7,5
837227340,1,1
126331254,1,1
759137372,6,8
2163208720,1,1
1192159764,1,1
978438996,3,3
1548843679,3,5
260396603,1,1
1666630129,1,1
14442438,2,1
150537115,1,1
267959196,2,3
465857883,1,3
118317201,1,2
614106724,1,1
1947583764,1,1
1030036866,2,3
755742469,1,3
797161598,1,1
501758608,1,1
1245167558,1,1
702384887,2,1
2232421872,1,1
472958230,6,6
2344657290,3,17
360190682,1,2
188020040,1,1
2226051822,1,1
1599588498,1,1
2601281744,1,2
29109900,1,1
604166926,3,3
165481668,1,1
535157239,1,1
93081007,1,2
1681306292,1,3
585191454,3,1
1637864418,4,3
2586625957,6,5
16493968,1,1
355241898,1,6
1029994946,1,1
128691868,1,2
16855620,1,1
14522416,1,1
14675740,3,2
573013769,1,1
350791783,1,1
1476724068,1,2
459167902,1,1
2661688734,1,3
15955009,2,2
423661858,30,16
541146980,29,9
27554091,2,1
1374561572,1,1
1319467722,2,5
35293765,1,1
349568348,1,1
23315993,1,2
362217669,1,1
16477702,1,1
822663950,4,1
2567937576,1,2
866918774,1,2
458493823,1,1
312426579,1,4
191476276,1,2
537087964,1,2
925982959,1,1
380621114,1,1
64969262,1,1
1118613337,1,1
168454073,1,1
175349053,5,11
16855994,1,1
125699508,12,19
774626688,1,3
637184469,11,2
343107067,1,1
972859459,2,1
1690192056,1,1
140682547,4,4
2285464020,1,1
1864206366,1,1
72573729,1,6
28913529,1,4
2269438550,1,4
2273827028,1,3
1072285290,1,2
40401112,1,1
501137676,1,1
41523789,2,1
